split,family,sigma,rho_d,T
Stress,Wide stress panel,0.2778006346321936,0.14180227672547693,0.4367848647293152
Stress,Wide stress panel,0.17660665424352817,0.11642205595897913,0.7466543333709346
Stress,Wide stress panel,0.25276280777529675,0.11289271936789236,0.9921616275263662
Stress,Wide stress panel,0.225044145724342,0.14896527575808835,0.45876728100185615
Stress,Wide stress panel,0.3434601139082676,0.11186598570070022,0.8048298545534708
Stress,Wide stress panel,0.28303958887875447,0.10840031150920638,0.9415926001851698
Stress,Wide stress panel,0.348988061678427,0.043172709907816124,0.08769867547338206
Stress,Wide stress panel,0.2150952795622561,0.026215460177191126,0.9829389273204381
Stress,Wide stress panel,0.13882657425248718,0.09600552822767877,0.7941767286051544
Stress,Wide stress panel,0.13043549069179874,0.053533721790240595,0.8883875711109535
Stress,Wide stress panel,0.18429310334214,0.09885006421343133,0.78840396787238
Stress,Wide stress panel,0.25723991567666427,0.01788519404596249,0.766399985514918
Stress,Wide stress panel,0.3532179390040834,0.05642769828463761,0.5533287351607454
Stress,Wide stress panel,0.1376853143348718,0.13641206142956006,0.9661636779002332
Stress,Wide stress panel,0.29700683258870597,0.10540711142271564,0.8731939574879294
Stress,Wide stress panel,0.384257742679184,0.04699646277776473,0.22243060008095528
Stress,Wide stress panel,0.2923166118275189,0.06036525238473596,0.33914491807179076
Stress,Wide stress panel,0.2288100577732678,0.025003752913326065,0.1946094713247985
Stress,Wide stress panel,0.19975773802852098,0.037491836520742686,0.2076209321017407
Stress,Wide stress panel,0.339427081584548,0.021440239945022983,0.524061731009046
Stress,Wide stress panel,0.2310231830626704,0.09363223677367384,0.6472702800367054
Stress,Wide stress panel,0.1426576952716453,0.10292259548460238,0.1606392486383883
Stress,Wide stress panel,0.19557984811390955,0.018895784201804537,0.6871574253307884
Stress,Wide stress panel,0.32705176631886385,0.09146951177400467,0.1204693767378854
Stress,Wide stress panel,0.32044635226464424,0.0497524182228328,0.3152722126770774
Stress,Wide stress panel,0.38504477039647506,0.12126392040615655,0.2655305934185507
Stress,Wide stress panel,0.1940078634040712,0.03198108958649532,0.13459396032157522
Stress,Wide stress panel,0.18726074760246975,0.14175291140308582,0.7771321738075397
Stress,Wide stress panel,0.23766158141863825,0.14716544574200968,0.2157967904624702
Stress,Wide stress panel,0.3902567016154691,0.06276577305969248,0.9206227483663443
Stress,Wide stress panel,0.2481536115804375,0.03545156630526617,0.29492169006416036
Stress,Wide stress panel,0.35344045715181105,0.06536690511311219,0.5977479894969431
Stress,Wide stress panel,0.14772495721940695,0.08320796270322502,0.8254219391349178
Stress,Wide stress panel,0.16159553512170727,0.1445617108337083,0.2887603934067866
Stress,Wide stress panel,0.2708521253954371,0.11782521957288203,0.1325554109712065
Stress,Wide stress panel,0.15531423498321245,0.04894634247406099,0.841526652552235
Stress,Wide stress panel,0.2752537712266121,0.10714722424292647,0.5675960602774467
Stress,Wide stress panel,0.1211277150913175,0.08787554112782742,0.49012921211628513
Stress,Wide stress panel,0.22067261475656985,0.13228135840217492,0.5443080683753047
