split,family,sigma,rho_d,T
Stress,Near-barrier stress,0.2153864686401895,0.016776263279055646,0.4472530693103208
Stress,Near-barrier stress,0.274272864536456,0.023266704904451152,1.4867515026982803
Stress,Near-barrier stress,0.2698037080636802,0.01598672762692199,1.2840818828805995
Stress,Near-barrier stress,0.33030154287350544,0.010260705354790425,0.6667645785815755
Stress,Near-barrier stress,0.2571258254611884,0.01910024541588859,1.1863409707196761
Stress,Near-barrier stress,0.3089256826728164,0.020807789969269637,1.3913257783924617
Stress,Near-barrier stress,0.3136246058035544,0.029087828768295673,1.4207001237983365
Stress,Near-barrier stress,0.23869192858167992,0.018038142152930654,0.4578435774410543
Stress,Near-barrier stress,0.16608058947894672,0.020007229327364262,1.3448616604634354
Stress,Near-barrier stress,0.24011926471607176,0.0251261545143837,1.2258585132719568
Stress,Near-barrier stress,0.3203946651396936,0.011304813051044473,0.9532503208923138
Stress,Near-barrier stress,0.18708221044990087,0.006483672531243817,0.7461187575447575
Stress,Near-barrier stress,0.23099342791463068,0.012100614234945706,1.2693794467140116
Stress,Near-barrier stress,0.34474107440002766,0.011790015801137721,0.7644442910327256
Stress,Near-barrier stress,0.3176296220924899,0.022912310804635627,0.78460821860892
Stress,Near-barrier stress,0.32404842290499813,0.006787209325432418,0.5535588794674433
Stress,Near-barrier stress,0.17999410292824758,0.02099033372331522,0.601780213293723
Stress,Near-barrier stress,0.2519612762897474,0.028010365299853263,0.3777607285590497
Stress,Near-barrier stress,0.3250047681219747,0.02778393572916866,1.3304043064405997
Stress,Near-barrier stress,0.24497705247304707,0.0029735869771047546,0.35297805164036405
Stress,Near-barrier stress,0.19901216634656932,0.02639425836958973,0.8067396855973621
Stress,Near-barrier stress,0.24967557665937878,0.015405889944717142,1.0084496230864295
Stress,Near-barrier stress,0.27085908140400816,0.0038484694876958847,0.5332235079680814
Stress,Near-barrier stress,0.2995563509993764,0.014109779093255429,0.5778945691670073
Stress,Near-barrier stress,0.3481354873618183,0.017316217598217238,0.7735061547264086
Stress,Near-barrier stress,0.25882110551667237,0.01278554403495331,0.4931836370164834
Stress,Near-barrier stress,0.23506397555364003,0.004662654789481347,1.4776101788025076
Stress,Near-barrier stress,0.2194889972743602,0.02661596357866481,0.6157805236436109
Stress,Near-barrier stress,0.21052751000798103,0.018601938864986144,1.368201981267018
Stress,Near-barrier stress,0.3414350170822025,0.015102059448211212,1.0684160809274912
Stress,Near-barrier stress,0.2838329421723579,0.024456257988042407,1.468464338645872
Stress,Near-barrier stress,0.19592693220017027,0.004208310989625338,0.5868960881803682
Stress,Near-barrier stress,0.26448699237612866,0.00484922224036373,1.0974280673558803
Stress,Near-barrier stress,0.3353414636388574,0.018105355008157784,0.8355649769880122
Stress,Near-barrier stress,0.1913637252174984,0.028365030362233243,0.6764091807863891
Stress,Near-barrier stress,0.25336894237092067,0.02192209676389431,0.6934584652021996
Stress,Near-barrier stress,0.1810080219861177,0.02969590746106856,1.1662796953407581
Stress,Near-barrier stress,0.23330306167862944,0.011094688640643571,0.92182721711932
Stress,Near-barrier stress,0.15365343813721286,0.005597316215646583,0.5656114733730597
Stress,Near-barrier stress,0.15048983491329496,0.024858403129511618,0.8482944970506365
Stress,Near-barrier stress,0.33432050624758947,0.021519139898151463,1.2139243805165656
Stress,Near-barrier stress,0.3030370449163703,0.02934388368133309,0.3138927782825026
Stress,Near-barrier stress,0.19289791477038667,0.024124827801560757,1.4015639166716485
Stress,Near-barrier stress,0.2966978898431535,0.0020526542805508895,1.3607554295414317
Stress,Near-barrier stress,0.2457070775745827,0.012416902324648704,1.0496359789998841
Stress,Near-barrier stress,0.16208197224450233,0.013816899954021354,0.5057059409773224
Stress,Near-barrier stress,0.3014488606778325,0.016411659765122814,1.4398905017135977
Stress,Near-barrier stress,0.31711167619877495,0.007419776918391483,1.1785680462474502
Stress,Near-barrier stress,0.29006901759274695,0.01432047630590563,0.7328745498573925
