split,family,sigma,rho_d,T
Stress,Short-maturity / low-vol stress,0.14171637535140238,0.02082460762065641,0.22385108093905715
Stress,Short-maturity / low-vol stress,0.13363611298272426,0.014083258106646492,0.29308276891012336
Stress,Short-maturity / low-vol stress,0.17368635510584732,0.02021641923356722,0.15653239170760677
Stress,Short-maturity / low-vol stress,0.14299491540297288,0.06188304715947609,0.3359138939441934
Stress,Short-maturity / low-vol stress,0.15382725348351567,0.04880743621578728,0.11227678465771601
Stress,Short-maturity / low-vol stress,0.19946044975275315,0.0970346810086127,0.08785151220235551
Stress,Short-maturity / low-vol stress,0.17158421325538328,0.02659640147033733,0.28003625489523415
Stress,Short-maturity / low-vol stress,0.15648305347857866,0.03611717353357125,0.0824215235233205
Stress,Short-maturity / low-vol stress,0.1207815707495749,0.09337671897257044,0.2654916632627459
Stress,Short-maturity / low-vol stress,0.15296889414433723,0.02157723981785522,0.2145738267123818
Stress,Short-maturity / low-vol stress,0.1363191709972802,0.08413082923976382,0.34152990562519636
Stress,Short-maturity / low-vol stress,0.19771732262012354,0.03497919876513852,0.25561699615723615
Stress,Short-maturity / low-vol stress,0.17576732177021825,0.07170601495548881,0.06509253514422783
Stress,Short-maturity / low-vol stress,0.19330946052255238,0.05606089264036621,0.31407082142783344
Stress,Short-maturity / low-vol stress,0.12936524080508094,0.0683623534091161,0.10067836029160054
Stress,Short-maturity / low-vol stress,0.12136386070553111,0.09006309083898528,0.15174605936730307
Stress,Short-maturity / low-vol stress,0.190816161935534,0.04436587963615454,0.20491707012649657
Stress,Short-maturity / low-vol stress,0.17918617785635105,0.018410894212150877,0.12956481986670954
Stress,Short-maturity / low-vol stress,0.19251309679145923,0.04991890136526421,0.2727918095094868
Stress,Short-maturity / low-vol stress,0.12658847799994252,0.012725908788676405,0.14440265145495323
Stress,Short-maturity / low-vol stress,0.15825421873650808,0.08933921978805573,0.07382841372905202
Stress,Short-maturity / low-vol stress,0.1310694414860329,0.09577634353421113,0.13550476154589924
Stress,Short-maturity / low-vol stress,0.125680054928652,0.07901858908684001,0.3477060217634211
Stress,Short-maturity / low-vol stress,0.15018845867431452,0.059466920573515915,0.32910947381233174
